season,round,session_type,driver_id,team,best_lap_s,mean_lap_s,lap_consistency,mean_s1,mean_s2,mean_s3,mean_throttle,mean_brake,max_speed,lap_count
2018,1,FP2,VAN,McLaren,85.285,90.4296153846154,5.385462910132261,30.023785714285715,24.541500000000003,40.30292857142857,67.43018996387521,0.1520802891667762,309.0,14
2018,1,FP2,RIC,Red Bull Racing,88.075,89.9199090909091,2.4292263564577685,29.46454545454545,23.97518181818182,36.48018181818181,67.72313988484389,0.1443747498405985,303.0,11
2018,1,FP2,VET,Ferrari,87.971,92.758125,13.549127971324696,29.650375,24.205529411764704,38.76982352941177,70.27619311185079,0.1680810250951338,325.0,17
2018,1,FP2,RAI,Ferrari,88.269,92.5655,12.121535634854968,30.097473684210524,24.58021052631579,37.85384210526317,68.40680494655435,0.1773833862020398,321.0,19
2018,1,FP2,GRO,Haas F1 Team,88.237,95.204,14.89060665430839,31.1645625,24.874,39.1654375,61.80629594664392,0.1604941121574888,306.0,16
2018,1,FP2,ERI,Sauber,89.898,93.64406666666667,11.226622628292771,30.166600000000003,24.510066666666667,38.9674,69.44292440532517,0.1599747968507082,308.0,15
2018,1,FP2,GAS,Toro Rosso,89.448,93.41761904761904,11.749182292722294,30.358761904761906,24.400047619047616,38.65880952380952,68.58105289713136,0.1485976568630505,298.0,21
2018,1,FP2,PER,Force India,85.413,92.67853846153848,7.277760937900527,31.02676923076924,25.049615384615382,41.051,65.39265079427115,0.1818676177559818,315.0,14
2018,1,FP2,ALO,McLaren,85.285,97.469,19.41216056367761,30.64725,25.184,41.714777777777776,66.26017288992973,0.1841028254893759,309.0,9
2018,1,FP2,LEC,Sauber,90.336,94.5205,14.265466997847165,30.4428125,24.6024375,39.47525,70.51294279806999,0.1672412386788156,306.0,16
2018,1,FP2,STR,Williams,85.543,90.6467857142857,3.699608652454833,30.381230769230765,24.452,36.11485714285714,65.54446000006575,0.1825195640586039,308.0,15
2018,1,FP2,MAG,Haas F1 Team,85.246,95.2666923076923,14.817256754567266,30.952,24.44038461538461,39.87430769230769,63.17696338023636,0.1717845316143524,314.0,13
2018,1,FP2,HUL,Renault,88.924,92.8207894736842,10.89999686329694,29.97188888888889,24.19957894736842,38.67284210526315,67.94116832732475,0.1703109132155462,297.0,19
